127.0.0.1 - - [04/Dec/2024 20:36:51] code 400, message Bad request syntax ('POST')
127.0.0.1 - - [04/Dec/2024 20:36:51] "POST" 400 -
127.0.0.1 - - [04/Dec/2024 20:38:57] code 400, message Bad request version ('HTTP1.1/')
127.0.0.1 - - [04/Dec/2024 20:38:57] "POST /?foo=1 HTTP1.1/" 400 -
127.0.0.1 - - [07/Dec/2024 01:06:19] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:07:12] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:09:08] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:11:11] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:12:29] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:13:04] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:13:09] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:14:02] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:14:19] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:16:46] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:16:57] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:17:45] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:18:47] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:27:18] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:27:44] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 01:28:17] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 12:13:42] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2024 12:13:56] "POST /addToQueue?tag=5 HTTP/1.1" 200 -
